Excell_order,remark,accession_L,segment_L,accession_S,segment_S,IV_passages,host,country,admin1,location,latitude-old,longitude-old,latitude,longitude,is_same,precision,source,reference,comment_1,comment_2,duplicate_excluded,non_suitable_strain_excluded,kept_in_L_aln,kept_in_S_aln
15,L < 500 nt,LN823982,LN823982|124|Mouse|Ivory_Coast|2013-08-20,,,0,Mastomys_natalensis,CIV,Savanes,Gbaloho,9.29,-5.42,9.29,-5.42,,coordinates_GenBank,10.3201/eid2108.150312,Kouadio et al. 2015. Emerg. Infect. Dis.,,,0,0,0,
16,L < 500 nt,LN823983,LN823983|127|Mouse|Ivory_Coast|2013-08-21,,,0,Mastomys_natalensis,CIV,Savanes,Gbaloho,9.29,-5.42,9.29,-5.42,,coordinates_GenBank,10.3201/eid2108.150312,Kouadio et al. 2015. Emerg. Infect. Dis.,,,0,0,0,
17,L < 500 nt,LN823984,LN823984|132|Mouse|Ivory_Coast|2013-08-22,,,0,Mastomys_natalensis,CIV,Savanes,Gbaloho,9.29,-5.42,9.29,-5.42,,coordinates_GenBank,10.3201/eid2108.150312,Kouadio et al. 2015. Emerg. Infect. Dis.,Zprotein - MK656441,,0,0,0,
18,L < 500 nt,LN823985,LN823985|139|Mouse|Ivory_Coast|2013-08-22,,,0,Mastomys_natalensis,CIV,Savanes,Gbaloho,9.29,-5.42,9.29,-5.42,,coordinates_GenBank,10.3201/eid2108.150312,Kouadio et al. 2015. Emerg. Infect. Dis.,,,0,0,0,
19,,AY628200,AY628200|Macenta|Mn|GHA|2013-05-26,AY628201,AY628201|Macenta|Mn|GHA|2013-05-26,,Mastomys_natalensis,GHA,,,,,,,NO,country,,Hajjaj et al. unpublished,data from KF425246,,0,0,,
20,,,,AF182261,AF182261|las806828|Human|GIN|1981,,Homo_sapiens,GIN,,,,,,,NO,country,10.1128/jvi.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
21,,,,AF182265,AF182265|las807998|Human|Guinea|1997,1_iso,Homo_sapiens,GIN,Nzerekore,Nzerekore,,,7.758615,-8.815928,NO,city_GoogleMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
22,,,,AF182267,AF182267|las807992|Human|Guinea|1997,1_iso,Homo_sapiens,GIN,Faranah,Kissidougou,,,9.192085,-10.113945,NO,city_GoogleMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
23,,,,AF182269,AF182269|las807868|Human|Guinea|1996,1_iso,Homo_sapiens,GIN,Faranah,Faranah,,,10.045385,-10.750165,NO,city_GoogleMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
24,,,,AF182270,AF182270|las808255|Mouse|Guinea|1996,1_iso,,GIN,Faranah,Faranah,,,10.045385,-10.750165,NO,city_GoogleMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
25,,,,DQ832667,DQ832667|GB129|Mouse|Guinea|2003,1,,GIN,Faranah,Gbetaya,9.841017,-11.04015,9.841017,-11.04015,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
26,,,,DQ832668,DQ832668|GB132|Mouse|Guinea|2003,1,,GIN,Faranah,Gbetaya,9.841017,-11.04015,9.841017,-11.04015,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
27,,,,DQ832669,DQ832669|BA263|Mouse|Guinea|2003,1,,GIN,Faranah,Bantou,10.059767,-10.58615,10.059767,-10.58615,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
28,,,,DQ832670,DQ832670|BA289|Mouse|Guinea|2003,1,,GIN,Faranah,Bantou,10.059767,-10.58615,10.059767,-10.58615,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,GU830838,,0,0,,
29,,,,DQ832671,DQ832671|BA302|Mouse|Guinea|2003,1,,GIN,Faranah,Bantou,10.059767,-10.58615,10.059767,-10.58615,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
30,,,,DQ832672,DQ832672|BA350|Mouse|Guinea|2003,1,,GIN,Faranah,Bantou,10.059767,-10.58615,10.059767,-10.58615,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
31,,,,DQ832673,DQ832673|BA354|Mouse|Guinea|2003,1,,GIN,Faranah,Bantou,10.059767,-10.58615,10.059767,-10.58615,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
32,,,,DQ832674,DQ832674|BA356|Mouse|Guinea|2003,1,,GIN,Faranah,Bantou,10.059767,-10.58615,10.059767,-10.58615,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
33,,,,DQ832676,DQ832676|BA375|Mouse|Guinea|2003,1,,GIN,Faranah,Bantou,10.059767,-10.58615,10.059767,-10.58615,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
34,,,,DQ832677,DQ832677|BA377|Mouse|Guinea|2003,1,,GIN,Faranah,Bantou,10.059767,-10.58615,10.059767,-10.58615,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,GU830840,,0,0,,
35,,,,DQ832678,DQ832678|BA378|Mouse|Guinea|2003,1,,GIN,Faranah,Bantou,10.059767,-10.58615,10.059767,-10.58615,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
36,,,,DQ832679,DQ832679|BA382|Mouse|Guinea|2003,1,,GIN,Faranah,Bantou,10.059767,-10.58615,10.059767,-10.58615,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
37,,,,DQ832680,DQ832680|BA384|Mouse|Guinea|2003,1,,GIN,Faranah,Bantou,10.059767,-10.58615,10.059767,-10.58615,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,GU830841,,0,0,,
38,,,,DQ832681,DQ832681|BA686|Mouse|Guinea|2004,1,,GIN,Faranah,Bantou,10.059767,-10.58615,10.059767,-10.58615,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
39,,,,DQ832682,DQ832682|TA416|Mouse|Guinea|2003,1,,GIN,Faranah,Tanganya,10.0004,-10.972783,10.0004,-10.972783,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
40,,,,DQ832683,DQ832683|TA341|Mouse|Guinea|2003,1,,GIN,Faranah,Tanganya,10.0004,-10.972783,10.0004,-10.972783,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
41,,,,DQ832684,DQ832684|TA444|Mouse|Guinea|2003,1,,GIN,Faranah,Tanganya,10.0004,-10.972783,10.0004,-10.972783,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
42,,,,DQ832685,DQ832685|TA462|Mouse|Guinea|2003,1,,GIN,Faranah,Tanganya,10.0004,-10.972783,10.0004,-10.972783,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
43,,,,DQ832686,DQ832686|TA464|Mouse|Guinea|2003,1,,GIN,Faranah,Tanganya,10.0004,-10.972783,10.0004,-10.972783,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
44,,,,DQ832687,DQ832687|TA471|Mouse|Guinea|2003,1,,GIN,Faranah,Tanganya,10.0004,-10.972783,10.0004,-10.972783,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
45,,,,DQ832688,DQ832688|TA491|Mouse|Guinea|2003,1,,GIN,Faranah,Tanganya,10.0004,-10.972783,10.0004,-10.972783,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,GU830843,,0,0,,
46,,,,DQ832689,DQ832689|TA817|Mouse|Guinea|2004,1,,GIN,Faranah,Tanganya,10.0004,-10.972783,10.0004,-10.972783,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
47,,,,DQ832690,DQ832690|TA820|Mouse|Guinea|2004,1,,GIN,Faranah,Tanganya,10.0004,-10.972783,10.0004,-10.972783,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
48,,,,DQ832691,DQ832691|TA846|Mouse|Guinea|2004,1,,GIN,Faranah,Tanganya,10.0004,-10.972783,10.0004,-10.972783,,city_Fichet_Calvet_et_al,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
49,,,,DQ832692,DQ832692|DGD4|Mouse|Guinea|2005,1,,GIN,Gueckedou,Denguedou,8.338811,-10.543925,8.338811,-10.543925,,city_GoogleMap,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
50,,,,DQ832693,DQ832693|DGD13|Mouse|Guinea|2005,1,,GIN,Gueckedou,Denguedou,8.338811,-10.543925,8.338811,-10.543925,,city_GoogleMap,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
51,,,,DQ832694,DQ832694|DGD28|Mouse|Guinea|2005,1,,GIN,Gueckedou,Denguedou,8.338811,-10.543925,8.338811,-10.543925,,city_GoogleMap,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
52,,,,DQ832695,DQ832695|DGD35|Mouse|Guinea|2005,1,,GIN,Gueckedou,Denguedou,8.338811,-10.543925,8.338811,-10.543925,,city_GoogleMap,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
53,,,,DQ832696,DQ832696|DGD43|Mouse|Guinea|2005,1,,GIN,Gueckedou,Denguedou,8.338811,-10.543925,8.338811,-10.543925,,city_GoogleMap,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,GU830842,,0,0,,
54,,,,DQ832697,DQ832697|DGD87|Mouse|Guinea|2005,1,,GIN,Gueckedou,Denguedou,8.338811,-10.543925,8.338811,-10.543925,,city_GoogleMap,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
55,,,,DQ832698,DQ832698|DGD104|Mouse|Guinea|2005,1,,GIN,Gueckedou,Denguedou,8.338811,-10.543925,8.338811,-10.543925,,city_GoogleMap,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
56,,,,DQ832699,DQ832699|DGD112|Mouse|Guinea|2005,1,,GIN,Gueckedou,Denguedou,8.338811,-10.543925,8.338811,-10.543925,,city_GoogleMap,10.3201/eid1212.060812,Lecompte et al. 2006. Emerg. Infect. Dis.,,,0,0,,
57,,GU979513,GU979513|BA366|Mouse|Guinea|2003,GU830839,GU830839|BA366|Mouse|Guinea|2003,1_v,Mastomys_natalensis,GIN,Faranah,Bantou,10.050452,-10.587936,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1128/JCM.02351-09,Olschläger et al. 2010. J. Clin. Microbiol.,,,0,0,,
58,,,,KP339050,KP339050|129|Mastomys natalensis|Guinea|2003-5-21,0,Mastomys_natalensis,GIN,Faranah,Gbetaya,,,9.841017,-11.04015,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
59,,,,KP339051,KP339051|132|Mastomys natalensis|Guinea|2003-5-21,0,Mastomys_natalensis,GIN,Faranah,Gbetaya,,,9.841017,-11.04015,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
60,,,,KP339052,KP339052|148|Mastomys natalensis|Guinea|2003-5-22,0,Mastomys_natalensis,GIN,Faranah,Gbetaya,,,9.841017,-11.04015,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
61,,,,KP339053,KP339053|153|Mastomys natalensis|Guinea|2003-5-22,0,Mastomys_natalensis,GIN,Faranah,Gbetaya,,,9.841017,-11.04015,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
62,,,,KP339054,KP339054|170|Mastomys natalensis|Guinea|2003-5-23,0,Mastomys_natalensis,GIN,Faranah,Gbetaya,,,9.841017,-11.04015,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
63,,,,KP339055,KP339055|185|Mastomys natalensis|Guinea|2003-5-25,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
64,,,,KP339056,KP339056|263|Mastomys natalensis|Guinea|2003-9-24,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
65,,,,KP339057,KP339057|289|Mastomys natalensis|Guinea|2003-9-25,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
66,,,,KP339058,KP339058|302|Mastomys natalensis|Guinea|2003-9-26,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
67,,,,KP339059,KP339059|350|Mastomys natalensis|Guinea|2003-9-27,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
68,,,,KP339060,KP339060|353|Mastomys natalensis|Guinea|2003-9-27,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
69,,,,KP339061,KP339061|354|Mastomys natalensis|Guinea|2003-9-27,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
70,,,,KP339062,KP339062|356|Mastomys natalensis|Guinea|2003-9-27,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
71,,,,KP339063,KP339063|366|Mastomys natalensis|Guinea|2003-9-28,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
72,,,,KP339064,KP339064|375|Mastomys natalensis|Guinea|2003-9-28,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
73,,,,KP339065,KP339065|377|Mastomys natalensis|Guinea|2003-9-28,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
74,,,,KP339066,KP339066|378|Mastomys natalensis|Guinea|2003-9-28,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
75,,,,KP339067,KP339067|382|Mastomys natalensis|Guinea|2003-9-28,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
76,,,,KP339068,KP339068|384|Mastomys natalensis|Guinea|2003-9-28,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
77,,,,KP339069,KP339069|390|Mastomys natalensis|Guinea|2003-9-29,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
78,,,,KP339070,KP339070|396|Mastomys natalensis|Guinea|2003-9-29,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
79,,,,KP339071,KP339071|416|Mastomys natalensis|Guinea|2003-10-2,0,Mastomys_natalensis,GIN,Faranah,Tanganya,,,10.0004,-10.972783,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
80,,,,KP339072,KP339072|417|Mastomys natalensis|Guinea|2003-10-2,0,Mastomys_natalensis,GIN,Faranah,Tanganya,,,10.0004,-10.972783,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
81,,,,KP339073,KP339073|425|Mastomys natalensis|Guinea|2003-10-2,0,Mastomys_natalensis,GIN,Faranah,Tanganya,,,10.0004,-10.972783,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
82,,,,KP339074,KP339074|431|Mastomys natalensis|Guinea|2003-10-2,0,Mastomys_natalensis,GIN,Faranah,Tanganya,,,10.0004,-10.972783,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
83,,,,KP339075,KP339075|444|Mastomys natalensis|Guinea|2003-10-3,0,Mastomys_natalensis,GIN,Faranah,Tanganya,,,10.0004,-10.972783,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
84,,,,KP339076,KP339076|462|Mastomys natalensis|Guinea|2003-10-4,0,Mastomys_natalensis,GIN,Faranah,Tanganya,,,10.0004,-10.972783,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
85,,,,KP339077,KP339077|464|Mastomys natalensis|Guinea|2003-10-4,0,Mastomys_natalensis,GIN,Faranah,Tanganya,,,10.0004,-10.972783,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
86,,,,KP339078,KP339078|471|Mastomys natalensis|Guinea|2003-10-4,0,Mastomys_natalensis,GIN,Faranah,Tanganya,,,10.0004,-10.972783,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
87,,,,KP339079,KP339079|491|Mastomys natalensis|Guinea|2003-10-5,0,Mastomys_natalensis,GIN,Faranah,Tanganya,,,10.0004,-10.972783,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
88,,,,KP339080,KP339080|497|Mastomys natalensis|Guinea|2003-10-5,0,Mastomys_natalensis,GIN,Faranah,Tanganya,,,10.0004,-10.972783,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
89,,,,KP339081,KP339081|686|Mastomys natalensis|Guinea|2004-1-27,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
90,,,,KP339082,KP339082|717|Mastomys natalensis|Guinea|2004-1-27,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
91,,,,KP339083,KP339083|813|Mastomys natalensis|Guinea|2004-2-1,0,Mastomys_natalensis,GIN,Faranah,Tanganya,,,10.0004,-10.972783,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
92,,,,KP339084,KP339084|817|Mastomys natalensis|Guinea|2004-2-1,0,Mastomys_natalensis,GIN,Faranah,Tanganya,,,10.0004,-10.972783,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
93,,,,KP339085,KP339085|820|Mastomys natalensis|Guinea|2004-2-1,0,Mastomys_natalensis,GIN,Faranah,Tanganya,,,10.0004,-10.972783,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
94,,,,KP339086,KP339086|846|Mastomys natalensis|Guinea|2004-2-2,0,Mastomys_natalensis,GIN,Faranah,Tanganya,,,10.0004,-10.972783,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
95,,,,KP339087,KP339087|903|Mastomys natalensis|Guinea|2004-5-21,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
96,,,,KP339088,KP339088|909|Mastomys natalensis|Guinea|2004-5-21,0,Mastomys_natalensis,GIN,Faranah,Bantou,,,10.059767,-10.58615,NO,city_Fichet_Calvet_et_al,10.1038/srep21977,Fichet-Calvet et al. 2016. Sci. Rep.,,,0,0,,
